127.0.0.1 - - [09/Apr/2017:14:38:48 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Apr/2017:14:38:49 -0400] "GET /Struts2Starter/ HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [09/Apr/2017:14:38:49 -0400] "GET /Struts2Starter/images/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2017:14:38:49 -0400] "GET /Struts2Starter/css/style.css HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [09/Apr/2017:14:39:07 -0400] "GET /Struts2Starter/getTutorial?place=Bars&city=London HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [09/Apr/2017:14:39:19 -0400] "GET /Struts2Starter/getTutorial?place=Restaurants&city=London HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [09/Apr/2017:14:39:36 -0400] "GET /Struts2Starter/getTutorial?place=Restaurants&city=Carnegie HTTP/1.1" 200 2795
0:0:0:0:0:0:0:1 - - [09/Apr/2017:14:39:57 -0400] "GET /Struts2Starter/getTutorial?place=Restaurants&city=Carnegie HTTP/1.1" 200 2795
0:0:0:0:0:0:0:1 - - [09/Apr/2017:14:39:57 -0400] "GET /Struts2Starter/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2017:14:39:57 -0400] "GET /Struts2Starter/images/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2017:14:39:57 -0400] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Apr/2017:14:51:56 -0400] "GET /Struts2Starter/ HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [09/Apr/2017:14:57:26 -0400] "GET /Struts2Starter/ HTTP/1.1" 200 1266
